#  exp vp  i ty  west  north   east  south  west2  north2  east2 south2
# zubc  3  3  3 260.30  38.80 264.60  34.80
#   idat itim     vdat  vtim  lev    SVET2M       SVEQ2M       SVEU10M      SVEV10M      SVETSK       SVEFAL       SFEFSRD      SFEFTRD
19970914 12.00 19970914 23.33   1  0.30109E+03  0.16171E-01 -0.35663E+00  0.27937E+01  0.30047E+03  0.12440E+00  0.17431E+03  0.38757E+03
19970914 12.00 19970914 23.67   1  0.30070E+03  0.16475E-01 -0.31221E+00  0.25062E+01  0.29978E+03  0.12440E+00  0.13500E+03  0.38396E+03
19970914 12.00 19970915  0.00   1  0.30013E+03  0.16625E-01 -0.34314E+00  0.22312E+01  0.29900E+03  0.12440E+00  0.95146E+02  0.37969E+03
19970914 12.00 19970915  0.33   1  0.29861E+03  0.16560E-01 -0.48158E+00  0.21308E+01  0.29704E+03  0.12440E+00  0.50811E+01  0.39813E+03
19970914 12.00 19970915  0.67   1  0.29809E+03  0.16372E-01 -0.56564E+00  0.21917E+01  0.29645E+03  0.12440E+00  0.17197E+01  0.38636E+03
19970914 12.00 19970915  1.00   1  0.29770E+03  0.16246E-01 -0.62196E+00  0.22346E+01  0.29605E+03  0.12440E+00  0.00000E+00  0.38288E+03
19970914 12.00 19970915  1.33   1  0.29741E+03  0.16150E-01 -0.66792E+00  0.22746E+01  0.29576E+03  0.12440E+00  0.00000E+00  0.38052E+03
19970914 12.00 19970915  1.67   1  0.29714E+03  0.16077E-01 -0.70713E+00  0.23133E+01  0.29552E+03  0.12440E+00  0.00000E+00  0.37885E+03
19970914 12.00 19970915  2.00   1  0.29691E+03  0.16013E-01 -0.74155E+00  0.23541E+01  0.29531E+03  0.12440E+00  0.00000E+00  0.37741E+03
19970914 12.00 19970915  2.33   1  0.29671E+03  0.15956E-01 -0.76780E+00  0.23957E+01  0.29513E+03  0.12440E+00  0.00000E+00  0.37620E+03
19970914 12.00 19970915  2.67   1  0.29652E+03  0.15905E-01 -0.78251E+00  0.24401E+01  0.29497E+03  0.12440E+00  0.00000E+00  0.37515E+03
19970914 12.00 19970915  3.00   1  0.29634E+03  0.15861E-01 -0.77929E+00  0.24877E+01  0.29483E+03  0.12440E+00 -0.97656E-03  0.37419E+03
19970914 12.00 19970915  3.33   1  0.29644E+03  0.15936E-01 -0.73783E+00  0.25176E+01  0.29503E+03  0.12440E+00  0.97656E-03  0.38079E+03
